,Unnamed: 0,wage,lwage,sex,shs,hsg,scl,clg,ad,mw,so,we,ne,exp1,exp2,exp3,exp4,occ,occ2,ind,ind2
0,10,9.61538461538461,2.26336437984076,1,0,0,0,1,0,0,0,0,1,7.0,0.49,0.343,0.2401,3600,11,8370,18
1,12,48.0769230769231,3.87280229227486,0,0,0,0,1,0,0,0,0,1,31.0,9.61,29.791,92.3521,3050,10,5070,9
2,15,11.0576923076923,2.40312632221592,0,0,1,0,0,0,0,0,0,1,18.0,3.24,5.832,10.4976,6260,19,770,4
3,18,13.9423076923077,2.63492793627325,1,0,0,0,0,1,0,0,0,1,25.0,6.25,15.625,39.0625,420,1,6990,12
4,19,28.8461538461538,3.36197666850887,1,0,0,0,1,0,0,0,0,1,22.0,4.84,10.648,23.4256,2015,6,9470,22
5,30,11.7307692307692,2.46221523858593,1,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,1650,5,7460,14
6,43,19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,42.0,17.64,74.088,311.1696,5120,17,7280,14
7,44,19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,37.0,13.69,50.653,187.4161,5240,17,5680,9
8,47,12.0,2.484906649788,1,0,1,0,0,0,0,0,0,1,31.0,9.61,29.791,92.3521,4040,13,8590,19
9,71,19.2307692307692,2.95651156040071,1,0,0,0,1,0,0,0,0,1,4.0,0.16,0.064,0.0256,3255,10,8190,18
10,73,17.3076923076923,2.85115104474288,1,0,1,0,0,0,0,0,0,1,7.0,0.49,0.343,0.2401,4020,13,8270,18
11,77,12.0192307692308,2.48650793115497,0,0,1,0,0,0,0,0,0,1,30.0,9.0,27.0,81.0,4220,14,8270,18
12,84,12.0192307692308,2.48650793115497,1,0,0,1,0,0,0,0,0,1,5.5,0.3025,0.166375,0.09150625,3600,11,8270,18
13,89,13.4615384615385,2.59983661646198,1,0,0,1,0,0,0,0,0,1,20.5,4.2025,8.615125,17.66100625,3645,11,8190,18
14,96,16.3461538461538,2.79399263090294,1,0,0,0,1,0,0,0,0,1,25.0,6.25,15.625,39.0625,110,1,7870,17
15,113,27.8846153846154,3.32807511683319,0,0,1,0,0,0,0,0,0,1,16.0,2.56,4.096,6.5536,6355,19,770,4
16,115,21.6,3.07269331469012,0,0,1,0,0,0,0,0,0,1,27.0,7.29,19.683,53.1441,6320,19,770,4
17,119,8.65384615384615,2.15800386418294,0,0,0,1,0,0,0,0,0,1,3.5,0.1225,0.042875,0.01500625,7410,20,570,3
18,128,19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,6.0,0.36,0.216,0.1296,7000,20,4690,9
19,129,13.1868131868132,2.57921732925924,0,0,1,0,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,4000,13,8680,20
20,135,10.6837606837607,2.36872489549859,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,4300,15,8590,19
21,144,11.5384615384615,2.44568593663472,1,0,0,1,0,0,0,0,0,1,8.5,0.7225,0.614125,0.52200625,3600,11,8190,18
22,145,17.7884615384615,2.878550018931,1,0,0,0,0,1,0,0,0,1,11.0,1.21,1.331,1.4641,2310,8,7860,17
23,149,19.2307692307692,2.95651156040071,0,0,0,0,1,0,0,0,0,1,11.0,1.21,1.331,1.4641,6200,19,770,4
24,152,16.304347826087,2.79143181004126,1,0,0,1,0,0,0,0,0,1,24.5,6.0025,14.706125,36.03000625,20,1,5480,9
25,157,19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,4800,16,7390,14
26,158,14.4230769230769,2.66882948794893,1,0,1,0,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,430,1,7390,14
27,160,12.0,2.484906649788,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,6330,19,770,4
