"treat","age","educ","black","hisp","marr","nodegree","re74","re75","re78","agesq","agecube","educsq","u74","u75","interaction1","re74sq","re75sq"
0,45,11,0,0,1,1,21.516669921875,25.24355078125,25.564669921875,2025,91125,121,0,0,236.683369140625,462.96708452692,637.236856045547
0,21,14,0,0,0,0,3.17597094726563,5.85256494140625,13.496080078125,441,9261,196,0,0,44.4635932617187,10.0867914578753,34.2525163933775
0,38,12,0,0,1,0,23.03901953125,25.130759765625,25.564669921875,1444,54872,144,0,0,276.468234375,530.796420961319,631.555086397556
0,48,6,0,0,1,1,24.994369140625,25.24355078125,25.564669921875,2304,110592,36,0,0,149.96621484375,624.718488737827,637.236856045547
0,18,8,0,0,1,1,1.66929504394531,10.7276103515625,9.860869140625,324,5832,64,0,0,13.3543603515625,2.78654594374038,115.081623854951
0,22,11,0,0,1,1,16.365759765625,18.44926953125,25.564669921875,484,10648,121,0,0,180.023357421875,267.83809270615,340.37554623671
0,48,10,0,0,1,1,16.804630859375,16.354599609375,18.05930078125,2304,110592,100,0,0,168.04630859375,282.395618319858,267.472928382969
0,18,11,0,0,0,1,1.14421203613281,3.62003198242187,15.73926953125,324,5832,121,0,0,12.5863323974609,1.3092211836312,13.1046315537572
0,48,9,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,2304,110592,81,0,0,232.7608828125,668.85961194635,637.236856045547
0,45,12,0,0,1,0,25.8623203125,0,3.92484204101563,2025,91125,144,0,1,310.34784375,668.85961194635,0
0,34,14,0,0,1,0,25.8623203125,23.74683984375,25.564669921875,1156,39304,196,0,0,362.072484375,668.85961194635,563.912402564712
0,16,10,0,0,0,1,1.02665600585937,1.2245810546875,6.84778515625,256,4096,100,0,0,10.2665600585938,1.05402255436713,1.49959875949955
0,53,10,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,2809,148877,100,0,0,258.623203125,668.85961194635,637.236856045547
0,19,12,0,0,0,0,0.867955200195312,4.3862900390625,8.7776962890625,361,6859,144,0,0,10.4154624023437,0.753346229546085,19.2395403067789
0,27,12,0,0,1,0,25.8623203125,19.047240234375,19.214880859375,729,19683,144,0,0,310.34784375,668.85961194635,362.797360545994
0,32,10,0,0,1,1,20.4273203125,23.37444921875,9.17963671875,1024,32768,100,0,0,204.273203125,417.275415149475,546.364876279923
0,27,12,0,0,1,0,20.98375,14.822080078125,25.564669921875,729,19683,144,0,0,251.805,440.3177640625,219.69405784235
0,46,7,0,0,1,1,19.1714296875,1.31767700195312,0,2116,97336,49,0,0,134.2000078125,367.543716262756,1.73627268147618
0,24,13,0,0,0,0,20.830919921875,25.24355078125,23.9037109375,576,13824,169,0,0,270.801958984375,433.927224791569,637.236856045547
0,22,13,0,0,0,0,11.0365498046875,10.351650390625,6.5566728515625,484,10648,169,0,0,143.475147460938,121.805431591348,107.156665809727
0,49,10,0,0,1,1,0.391853393554688,0,0,2401,117649,100,0,1,3.91853393554688,0.153549082040325,0
0,17,10,0,0,0,1,0,0,4.75532421875,289,4913,100,1,1,0,0,0
0,29,14,0,0,1,0,21.499029296875,22.5867109375,20.923130859375,841,24389,196,0,0,300.98641015625,462.20826070789,510.159510974182
0,28,16,0,0,1,0,16.50094921875,0,10.267240234375,784,21952,256,0,1,264.0151875,272.281325119766,0
0,46,12,0,0,1,0,24.814109375,24.96783984375,19.339009765625,2116,97336,144,0,0,297.7693125,615.740024074463,623.39302646315
0,26,17,1,0,1,0,0,0,4.75384619140625,676,17576,289,1,1,0,0,0
0,49,12,0,0,0,0,25.8623203125,25.24355078125,25.564669921875,2401,117649,144,0,0,310.34784375,668.85961194635,637.236856045547
0,51,10,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,2601,132651,100,0,0,258.623203125,668.85961194635,637.236856045547
0,51,10,0,0,1,1,22.923419921875,21.725560546875,10.34851953125,2601,132651,100,0,0,229.23419921875,525.483180914616,471.999981075931
0,27,11,0,0,1,1,17.022109375,18.123439453125,18.4907890625,729,19683,121,0,0,187.243203125,289.752207574463,328.459057611088
0,23,13,0,0,0,0,19.0989296875,21.014810546875,0,529,12167,169,0,0,248.2860859375,364.769115208069,441.622262321049
0,27,10,0,0,1,1,7.9526640625,9.7554677734375,13.1059599609375,729,19683,100,0,0,79.526640625,63.244865690979,95.1691514785776
0,38,10,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,1444,54872,100,0,0,258.623203125,668.85961194635,637.236856045547
0,32,8,0,0,0,1,7.1865908203125,6.1497578125,8.4141748046875,1024,32768,64,0,0,57.4927265625,51.6470876185999,37.8195211524048
0,34,14,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1156,39304,196,0,0,362.072484375,668.85961194635,637.236856045547
0,26,18,0,0,1,0,20.971990234375,21.883109375,25.564669921875,676,17576,324,0,0,377.49582421875,439.82437439072,478.870475918213
0,21,13,0,0,0,0,8.6384072265625,8.17640283203125,6.7532099609375,441,9261,169,0,0,112.299293945312,74.6220794119272,66.8535632716487
0,39,8,0,1,0,1,13.499349609375,16.383240234375,16.461869140625,1521,59319,64,0,0,107.994796875,182.232439876133,268.410560577244
0,17,8,1,0,0,1,0,0.451161285400391,0,289,4913,64,1,0,0,0,0.203546505444133
0,22,11,0,1,1,1,17.466859375,17.779689453125,14.4388701171875,484,10648,121,0,0,192.135453125,305.091176426025,316.117357049564
0,21,12,0,1,0,0,0,0,0,441,9261,144,1,1,0,0,0
0,44,9,0,1,1,1,15.3900400390625,14.8865302734375,12.6345595703125,1936,85184,81,0,0,138.510360351562,236.853332403947,221.608783581971
0,26,10,0,1,1,1,17.12594921875,17.446689453125,13.518240234375,676,17576,100,0,0,171.2594921875,293.298136643204,304.386972873783
0,54,4,0,1,1,1,13.3504404296875,13.180349609375,13.7413798828125,2916,157464,16,0,0,53.40176171875,178.234259666635,173.721615825352
0,42,12,0,1,1,0,21.663609375,22.013810546875,19.941919921875,1764,74088,144,0,0,259.9633125,469.311971152588,484.607854793705
0,25,12,0,0,0,0,8.10548681640625,11.86983984375,6.17098583984375,625,15625,144,0,0,97.265841796875,65.6989165309355,140.893097916275
0,20,13,0,0,0,0,0.317401214599609,0.21483869934082,0,400,8000,169,0,0,4.12621578979492,0.100743531029307,0.0461556667344554
0,44,11,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,1936,85184,121,0,0,284.4855234375,668.85961194635,637.236856045547
0,33,12,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1089,35937,144,0,0,310.34784375,668.85961194635,637.236856045547
0,40,12,0,0,1,0,25.8623203125,14.4944501953125,25.564669921875,1600,64000,144,0,0,310.34784375,668.85961194635,210.089086464395
0,25,16,0,0,1,0,21.048400390625,22.916130859375,23.574169921875,625,15625,256,0,0,336.77440625,443.035159004063,525.149053563999
0,33,12,0,0,0,0,12.69408984375,13.046080078125,11.2647099609375,1089,35937,144,0,0,152.329078125,161.139916961197,170.20020540485
0,52,13,1,0,0,0,19.827779296875,19.66848046875,18.43758984375,2704,140608,169,0,0,257.761130859375,393.140831845585,386.8491239496
0,54,14,0,0,1,0,24.686759765625,25.24355078125,25.564669921875,2916,157464,196,0,0,345.61463671875,609.436107725681,637.236856045547
0,27,15,0,0,0,0,19.200810546875,19.303259765625,18.2070703125,729,19683,225,0,0,288.012158203125,368.671125656986,372.615837579197
0,51,10,0,0,1,1,7.48831787109375,7.8881611328125,6.14881982421875,2601,132651,100,0,0,74.8831787109375,56.074904538542,62.2230860572138
0,42,12,0,0,1,0,6.50280712890625,15.24101953125,15.46883984375,1764,74088,144,0,0,78.033685546875,42.2865005557539,232.288676351944
0,50,10,0,0,1,1,25.8623203125,25.24355078125,25.564669921875,2500,125000,100,0,0,258.623203125,668.85961194635,637.236856045547
0,47,10,0,0,1,1,15.2822802734375,13.96451953125,9.0436865234375,2209,103823,100,0,0,152.822802734375,233.548090355897,195.007805738663
0,28,12,0,0,1,0,24.224369140625,11.0194404296875,20.0557109375,784,21952,144,0,0,290.6924296875,586.820060261265,121.428067383431
0,33,12,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1089,35937,144,0,0,310.34784375,668.85961194635,637.236856045547
0,33,13,0,0,1,0,21.146369140625,18.732150390625,22.254560546875,1089,35937,169,0,0,274.902798828125,447.168927831577,350.893458256992
0,55,16,0,0,1,0,25.8623203125,24.6276796875,25.564669921875,3025,166375,256,0,0,413.797125,668.85961194635,606.5226067901
0,38,12,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1444,54872,144,0,0,310.34784375,668.85961194635,637.236856045547
0,39,16,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1521,59319,256,0,0,413.797125,668.85961194635,637.236856045547
0,27,17,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,729,19683,289,0,0,439.6594453125,668.85961194635,637.236856045547
0,16,9,0,0,0,1,0.378138488769531,0.467274200439453,4.30609521484375,256,4096,81,0,0,3.40324639892578,0.142988716688905,0.21834517839633
0,35,12,0,0,1,0,6.6458330078125,3.3317900390625,0,1225,42875,144,0,0,79.74999609375,44.1670963677301,11.1008248643961
0,35,12,0,0,1,0,22.421849609375,21.093580078125,23.5904296875,1225,42875,144,0,0,269.0621953125,502.73933990543,444.939120512272
0,45,12,0,0,1,0,25.8623203125,25.24355078125,0,2025,91125,144,0,0,310.34784375,668.85961194635,637.236856045547
0,51,11,0,0,1,1,18.27016015625,21.63783984375,20.26701953125,2601,132651,121,0,0,200.97176171875,333.798752135025,468.196113103775
0,27,16,0,0,0,0,11.31673046875,1.76167700195312,5.53260791015625,729,19683,256,0,0,181.0676875,128.068388502335,3.10350585921055
0,28,14,0,0,1,0,0,0,18.71983984375,784,21952,196,1,1,0,0,0
0,35,18,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1225,42875,324,0,0,465.521765625,668.85961194635,637.236856045547
0,39,10,0,0,1,1,18.53466015625,0,21.496490234375,1521,59319,100,0,1,185.3466015625,343.533627107681,0
0,33,12,0,0,0,0,25.8623203125,25.24355078125,25.564669921875,1089,35937,144,0,0,310.34784375,668.85961194635,637.236856045547
0,52,16,0,0,1,0,25.8623203125,25.241759765625,12.42916015625,2704,140608,256,0,0,413.797125,668.85961194635,637.146436065525
0,22,13,0,0,0,0,5.02356005859375,6.8193388671875,13.943830078125,484,10648,169,0,0,65.3062807617188,25.2361556622984,46.5033825855341
0,25,12,0,0,1,0,20.07073046875,11.117900390625,19.003560546875,625,15625,144,0,0,240.848765625,402.83422154921,123.60770909586
0,28,16,0,0,1,0,25.0139609375,22.710240234375,0,784,21952,256,0,0,400.223375,625.698241782776,515.755011503025
0,27,16,0,0,1,0,16.888880859375,16.2006298828125,17.295310546875,729,19683,256,0,0,270.22209375,285.234296682163,262.460408599877
0,30,13,0,0,0,0,8.3621513671875,7.9902099609375,8.590025390625,900,27000,169,0,0,108.707967773438,69.9255754877558,63.8434552198649
0,28,15,0,0,0,0,9.672900390625,8.08509716796875,14.34873046875,784,21952,225,0,0,145.093505859375,93.5650019669533,65.3687962154963
0,24,12,0,0,1,0,19.083259765625,18.270240234375,22.26194921875,576,13824,144,0,0,228.9991171875,364.170803282322,333.801678221775
0,29,11,1,0,0,1,14.74348046875,14.9545595703125,13.7147802734375,841,24389,121,0,0,162.17828515625,217.370216332413,223.638851942025
0,49,7,1,0,0,1,16.444130859375,16.028759765625,15.9653603515625,2401,117649,49,0,0,115.108916015625,270.409439720249,256.921139624119
0,22,12,0,0,1,0,13.352400390625,14.3583896484375,17.051490234375,484,10648,144,0,0,160.2288046875,178.286596191563,206.163353296357
0,30,16,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,900,27000,256,0,0,413.797125,668.85961194635,637.236856045547
0,45,12,0,0,1,0,24.185189453125,25.24355078125,0,2025,91125,144,0,0,290.2222734375,584.923388883549,637.236856045547
0,44,12,0,0,1,0,24.669130859375,24.4182109375,25.564669921875,1936,85184,144,0,0,296.0295703125,608.566017356968,596.249025388245
0,21,12,0,0,0,0,11.4656298828125,1.95324194335938,25.564669921875,441,9261,144,0,0,137.58755859375,131.460668609643,3.81515408929831
0,26,13,0,0,1,0,11.6615595703125,4.14280615234375,18.650390625,676,17576,169,0,0,151.600274414063,135.991971611947,17.1628428158972
0,25,16,0,0,1,0,18.8226796875,20.11248046875,20.986669921875,625,15625,256,0,0,301.162875,354.293270618225,404.51187060585
0,45,8,0,0,1,1,16.883,15.3162099609375,17.010109375,2025,91125,64,0,0,135.064,285.035689,234.586287567521
0,19,9,0,0,0,1,3.31116088867187,10.5253095703125,1.69347497558594,361,6859,81,0,0,29.8004479980469,10.9637864306703,110.782141550912
0,55,9,0,0,1,1,12.60983984375,12.349650390625,12.20158984375,3025,166375,81,0,0,113.48855859375,159.008060885025,152.513864770664
0,22,12,0,0,1,0,12.4237099609375,13.03533984375,17.48298046875,484,10648,144,0,0,149.08451953125,154.348569193498,169.920084842056
0,37,18,0,0,1,0,0,16.735939453125,25.564669921875,1369,50653,324,1,0,0,0,280.091669378666
0,38,12,0,0,1,0,25.8623203125,25.24355078125,25.2986796875,1444,54872,144,0,0,310.34784375,668.85961194635,637.236856045547
0,29,13,0,0,1,0,17.962560546875,11.5905498046875,2.63921997070313,841,24389,169,0,0,233.513287109375,322.65358140015,134.340844774941
0,43,8,0,0,1,1,21.04448046875,25.24355078125,1.301876953125,1849,79507,64,0,0,168.35584375,442.8701581996,637.236856045547
0,51,10,0,0,1,1,25.8623203125,19.817080078125,0.00443317985534668,2601,132651,100,0,0,258.623203125,668.85961194635,392.716662822819
0,25,14,0,0,1,0,11.7693203125,11.6245595703125,13.9039296875,625,15625,196,0,0,164.770484375,138.516900618225,135.130385203744
0,52,12,0,0,1,0,20.7760703125,20.808919921875,10.394330078125,2704,140608,144,0,0,249.31284375,431.645097629944,433.011148315006
0,26,14,0,0,1,0,22.88619921875,24.52383984375,25.564669921875,676,17576,196,0,0,320.4067890625,523.778114680313,601.4187206819
0,37,18,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1369,50653,324,0,0,465.521765625,668.85961194635,637.236856045547
0,36,12,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,1296,46656,144,0,0,310.34784375,668.85961194635,637.236856045547
0,27,14,0,0,1,0,6.395046875,18.51373046875,21.2585703125,729,19683,196,0,0,89.53065625,40.8966245334473,342.758215869522
0,21,11,0,0,1,1,20.8172109375,25.24355078125,25.564669921875,441,9261,121,0,0,228.9893203125,433.35627121637,637.236856045547
0,44,12,0,0,1,0,22.686349609375,0,19.081880859375,1936,85184,144,0,1,272.2361953125,514.670458598789,0
0,49,17,0,0,1,0,25.8623203125,25.24355078125,25.564669921875,2401,117649,289,0,0,439.6594453125,668.85961194635,637.236856045547
0,32,0,0,0,0,1,4.5592138671875,3.97630590820313,7.24677099609375,1024,32768,0,0,0,0,20.7864310867548,15.8110086756111
0,23,12,0,0,1,0,16.593029296875,17.622150390625,22.87225,529,12167,144,0,0,199.1163515625,275.328621246952,310.540184389805
0,46,12,0,0,1,0,18.63655078125,18.214740234375,20.485720703125,2116,97336,144,0,0,223.638609375,347.32102502211,331.776761805759
0,17,10,0,0,0,1,0,1.53609704589844,19.808919921875,289,4913,100,1,0,0,0,2.35959413441791
0,26,12,0,0,1,0,19.067580078125,24.8496796875,22.545669921875,676,17576,144,0,0,228.8109609375,363.572610035709,617.50658057135
0,27,12,0,0,1,0,19.63773046875,8.17819384765625,25.564669921875,729,19683,144,0,0,235.652765625,385.640457963272,66.8828546098425
0,30,15,0,0,1,0,23.8717109375,25.24355078125,25.564669921875,900,27000,225,0,0,358.0756640625,569.858583083557,637.236856045547
0,23,12,0,0,0,0,23.826640625,24.94276953125,25.5232890625,529,12167,144,0,0,285.9196875,567.7088034729,622.141751889053
0,22,12,0,0,1,0,13.540490234375,21.766740234375,25.564669921875,484,10648,144,0,0,162.4858828125,183.344875787205,473.790980430759
0,30,18,0,0,1,0,23.127189453125,23.58033984375,25.564669921875,900,27000,324,0,0,416.28941015625,534.866892000736,556.032427146744
0,32,14,0,0,1,0,20.1451796875,15.9410302734375,25.564669921875,1024,32768,196,0,0,282.032515625,405.828264641663,254.116446178651
0,27,14,0,0,0,0,15.576169921875,24.70644921875,25.564669921875,729,19683,196,0,0,218.06637890625,242.617069435123,610.408632998672
0,18,12,0,0,0,0,4.729669921875,3.3282099609375,12.6020498046875,324,5832,144,0,0,56.7560390625,22.3697775698891,11.0769815440836
0,33,18,0,0,0,0,0,0,25.564669921875,1089,35937,324,1,1,0,0,0
0,22,11,0,0,0,1,5.325287109375,1.06166101074219,0,484,10648,121,0,0,58.578158203125,28.3586827972755,1.12712410173012
0,23,16,0,0,0,0,2.35895703125,0,3.270208984375,529,12167,256,0,1,37.7433125,5.56467827528381,0
0,51,10,0,0,1,1,19.030359375,17.532630859375,0,2601,132651,100,0,0,190.30359375,362.15457794165,307.393144851109
