"","abdt","tg","inuidur1","inuidur2","female","black","hispanic","othrace","dep","q1","q2","q3","q4","q5","q6","recall","agelt35","agegt54","durable","nondurable","lusd","husd","muld"
"1",10824,0,18,18,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"2",10635,2,7,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"3",10551,5,18,6,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"4",10824,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"5",10747,0,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"6",10544,6,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"7",10845,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"8",10670,3,3,3,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"9",10768,3,28,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"10",10754,2,20,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"11",10712,3,6,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"12",10607,4,9,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"13",10831,0,27,27,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"14",10845,0,27,27,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"15",10831,0,9,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"16",10551,3,27,27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"17",10859,0,27,27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"18",10740,1,15,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"19",10537,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"20",10663,6,26,26,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"21",10656,5,30,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"22",10628,2,27,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"23",10516,0,15,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"24",10803,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"25",10663,0,28,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"26",10747,0,12,12,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"27",10551,4,22,22,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"28",10635,2,17,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"29",10761,2,13,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"30",10586,1,8,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"31",10859,1,27,27,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"32",10768,0,18,18,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"33",10537,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"34",10768,5,27,27,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"35",10845,3,25,25,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"36",10789,2,34,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"37",10705,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"38",10775,2,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"39",10600,4,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"40",10572,1,9,9,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"41",10649,6,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
"42",10866,3,41,41,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"43",10866,0,18,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"44",10558,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"45",10747,2,29,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"46",10642,2,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"47",10642,6,5,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"48",10614,2,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"49",10572,0,14,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"50",10663,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"51",10684,3,31,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"52",10656,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"53",10866,2,27,27,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"54",10656,6,27,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"55",10614,2,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"56",10880,2,27,27,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"57",10565,5,33,33,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"58",10789,0,9,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"59",10768,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"60",10649,0,27,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"61",10670,4,27,27,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"62",10600,6,27,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"63",10796,0,10,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"64",10873,5,27,27,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"65",10558,0,25,25,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"66",10691,2,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"67",10593,5,27,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"68",10649,2,14,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"69",10866,3,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"70",10621,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"71",10607,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"72",10831,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"73",10810,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"74",10677,2,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"75",10551,4,13,13,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"76",10733,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"77",10796,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"78",10712,3,15,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"79",10768,2,15,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"80",10607,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"81",10719,0,27,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"82",10726,4,14,14,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"83",10607,5,28,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"84",10593,1,11,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"85",10593,5,8,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"86",10845,0,18,18,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"87",10558,2,20,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"88",10803,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"89",10852,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"90",10705,6,9,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"91",10831,5,27,27,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"92",10663,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"93",10684,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"94",10684,2,21,21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
"95",10761,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"96",10600,6,6,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"97",10544,2,12,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"98",10698,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"99",10411,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"100",10698,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"101",10782,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"102",10733,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"103",10621,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"104",10831,4,11,11,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0
"105",10607,1,8,8,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"106",10593,3,27,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"107",10845,5,27,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"108",10523,0,28,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"109",10782,3,9,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"110",10726,0,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"111",10628,2,20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"112",10719,6,8,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"113",10530,5,10,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"114",10600,2,27,27,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
"115",10782,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"116",10649,6,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"117",10817,0,17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"118",10523,6,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"119",10726,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
