outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
47.36737442,0,17018390,,,,,,,1,1,0,29,0,1,52
58.17675781,1,33002614,,,,,,,0,0,0,41,0,0,27
56.67166138,1,35002914,1,1,1,0,0,0,1,0,0,48,0,1,56
29.07937622,0,35908915,1,0,0,0,0,0,0,0,0,42,0,0,27
49.56353378,1,33047324,1,0,0,0,0,1,0,1,0,50,0,1,31
43.0994339,0,53012542,1,0,0,0,1,1,0,1,0,93,0,1,77
71.32959747,0,53006984,1,1,0,0,0,1,1,1,0,52,0,1,43
80.06343842,0,33049475,1,1,1,0,0,0,0,1,0,50,0,0,31
88.75163269,1,35925639,1,1,0,0,0,0,0,0,0,59,0,1,50
61.43613815,1,35008758,1,0,0,0,0,1,1,1,0,44,0,1,14
63.81138611,1,35005307,1,0,0,0,0,1,0,0,1,,0,1,73
66.01345062,0,33024537,1,0,0,0,0,1,1,1,1,60,0,1,56
39.58180618,1,33075212,,,,,,,1,1,0,,0,1,60
64.26411438,1,53011520,1,0,0,1,0,0,0,0,0,47,0,1,46
66.0880661,1,33058679,1,0,1,0,0,0,0,0,0,53,0,0,
37.54059601,0,23100575,1,0,1,0,1,1,0,0,0,13,0,0,37
59.19206238,0,35011502,1,0,0,0,0,0,0,1,0,67,0,0,50
34.7023735,0,35044453,1,0,1,0,1,1,0,0,0,42,0,1,52
36.50310898,0,35012075,,,,,,,0,0,0,30,0,0,
54.48887253,1,33126267,1,0,0,1,1,0,0,1,0,31,0,1,46
51.41831207,1,35045160,1,1,1,1,1,0,0,1,0,41,0,1,37
59.4324646,1,31068543,1,0,0,1,0,1,0,0,0,42,0,1,69
70.17137146,1,17002648,1,1,0,0,1,1,1,1,1,46,0,1,77
61.69548416,1,33019223,1,0,0,0,1,0,0,1,0,37,0,,14
66.90643311,0,31069191,1,0,0,0,0,1,1,1,0,34,0,1,37
50.32366943,1,33025576,1,0,0,0,0,1,0,1,0,,0,0,
65.67250061,1,23131802,1,0,0,0,1,1,1,0,0,53,0,1,24
78.46157074,1,35901805,1,1,1,0,0,0,0,1,0,18,0,1,60
27.84599876,1,33072310,1,0,0,1,1,1,1,1,1,47,0,0,65
34.98214722,0,35901118,1,0,0,1,0,0,,,,,,,
61.53560638,1,33106630,1,1,1,0,1,0,0,1,0,53,1,0,65
34.85758972,1,35012087,,,,,,,1,1,0,27,1,1,35
72.18119812,1,35011423,1,1,1,0,0,0,0,0,0,57,0,1,43
68.80345154,0,33029660,1,0,1,0,0,0,0,1,0,,0,1,54
47.70589447,0,35049499,1,0,0,0,0,1,0,1,0,22,0,0,33
67.02035522,1,31322539,1,1,0,0,0,1,0,1,0,60,0,1,58
71.28990936,1,35004492,1,1,0,0,1,1,0,1,0,71,0,1,69
31.18143272,1,35012087,,,,,,,0,0,0,44,0,1,24
78.83004761,0,35905008,1,1,1,0,0,0,1,1,0,50,0,1,71
71.81973267,0,35904958,,,,,,,1,1,0,36,0,1,16
47.00817871,0,17021553,1,1,1,0,0,0,0,1,0,,0,1,16
64.51287079,1,35901805,1,1,1,0,0,0,1,1,0,55,0,1,24
42.38709641,0,35008540,1,0,0,0,0,0,0,0,0,15,0,0,31
58.97924042,1,23070382,1,0,0,0,1,0,0,0,0,60,0,1,43
35.21647644,0,35019604,,,,,,,0,0,0,29,0,0,12
74.37255096,1,35001824,1,1,1,1,0,0,0,1,0,64,0,1,31
70.07285309,1,35012087,,,,,,,1,1,0,42,0,0,62
58.24064255,0,17007500,1,0,0,0,1,0,0,0,0,39,0,0,39
52.94849777,0,33093555,1,1,0,0,1,1,0,0,0,69,0,0,-7
65.96463013,0,33038724,1,1,1,0,0,0,0,1,0,39,0,1,-1
50.42432785,0,35012130,,,,,,,0,0,0,,0,1,
64.65100861,0,35008667,0,,,0,0,0,1,1,0,66,0,1,48
59.50733185,1,35037254,0,1,1,0,0,0,0,0,,65,0,,69
30.10463524,0,33027820,0,0,0,1,0,1,0,1,0,,0,1,22
53.68501282,0,35012130,,,,,,,1,1,1,96,1,1,92
51.83224106,1,33047324,0,0,1,0,0,0,1,0,0,76,,1,90
43.46515274,0,35012129,0,1,1,0,0,0,1,1,1,56,1,1,88
61.57658768,1,17004950,0,1,1,0,0,0,1,1,0,53,0,1,31
56.06187057,1,35004492,0,0,0,0,0,0,0,1,0,54,0,0,41
51.34406281,0,33046522,0,0,1,1,0,1,0,1,0,28,0,1,43
72.10370636,0,53006739,0,0,1,0,0,0,0,1,0,51,0,0,31
66.38201904,0,33012407,1,0,0,0,1,1,1,1,1,45,0,1,62
60.52178574,1,35901192,0,0,1,0,0,1,0,1,0,93,0,1,58
54.75733948,1,35914757,0,0,0,0,0,1,0,0,0,51,0,1,52
64.85352325,1,35907397,1,0,0,0,0,1,0,1,1,34,1,1,
33.41763687,0,33060738,0,1,1,1,0,1,0,1,0,,0,1,
65.93767548,1,35903073,0,0,0,1,0,0,0,1,0,32,0,0,20
76.03656006,1,33003858,,,,,,,1,1,1,63,1,1,79
51.94411469,0,35012142,,,,,,,0,0,0,30,0,1,65
92.61506653,0,23071095,0,0,0,1,1,0,1,1,,69,,1,69
70.53145599,1,35018089,0,1,1,1,0,0,1,1,0,84,0,1,62
63.16611099,0,33011427,0,0,0,0,1,1,1,1,0,73,0,1,54
80.80203247,1,35001016,0,,,1,0,0,0,1,0,69,0,1,12
26.00057602,1,33058750,0,0,1,0,1,0,0,1,0,74,0,1,54
67.30514526,0,23077883,0,1,1,0,1,1,0,0,0,26,0,1,43
37.37355042,0,31069469,0,1,0,0,1,0,1,1,0,49,0,1,50
41.60129929,1,35018089,0,0,0,1,0,0,1,1,0,46,0,1,60
34.33000946,0,53011597,0,0,0,1,0,,0,1,1,79,0,1,58
73.81293488,0,33032360,0,0,0,0,1,1,0,1,0,12,0,0,8
60.40258026,0,23072374,0,0,0,1,1,1,0,1,0,44,0,1,54
33.21727753,0,33028109,0,0,0,1,0,1,0,1,0,24,0,0,20
34.13291931,0,35008199,0,1,1,1,0,0,0,0,0,53,0,1,50
43.00987625,0,35008576,0,0,0,0,0,1,1,1,0,,0,1,33
57.02453613,0,23265795,1,1,1,0,0,1,0,0,0,57,0,1,62
77.74076843,1,33012083,,,,,,,1,1,0,,0,1,62
74.92599487,0,23264853,0,1,1,0,0,0,0,1,0,18,0,1,
49.54885483,1,35916985,0,0,0,1,0,1,1,1,0,,0,1,
63.62992477,1,35037242,0,,0,0,0,0,0,1,0,38,0,1,67
86.63185883,1,35014266,0,0,1,0,0,0,0,0,0,42,0,1,62
68.08003998,1,35007638,0,0,0,1,1,,1,1,1,69,0,1,52
65.47291565,1,33077100,1,1,1,0,0,1,0,0,0,50,0,0,58
55.61624146,1,23320214,0,0,0,0,1,1,0,,0,,0,1,75
75.71279907,0,17033993,1,0,0,0,0,1,0,1,0,50,0,0,27
61.26979446,1,33018910,1,0,0,1,1,1,0,1,0,79,0,1,88
56.18034363,0,33014760,1,0,0,1,1,1,0,0,0,76,0,0,71
39.40245819,0,33050554,1,0,0,1,1,1,0,1,0,37,0,1,37
60.05584717,0,33074186,1,0,0,0,0,0,1,1,0,77,1,1,86
88.3543396,1,35011782,0,1,1,0,0,0,0,0,0,,1,1,
34.72690582,1,23085193,0,0,0,0,0,1,1,1,,46,,1,60
60.27117538,1,35008312,1,0,0,0,0,0,0,1,0,,0,1,
37.36271286,0,17050715,1,0,0,1,1,1,0,1,0,25,1,1,54
62.85758972,1,23320214,1,1,1,0,1,1,0,1,0,48,0,1,29
72.64342499,1,33027137,1,1,1,0,0,0,0,1,0,67,0,1,75
73.98155212,0,35019549,0,0,0,0,0,0,0,1,0,32,0,0,31
67.90550232,1,35905148,0,0,0,1,0,0,0,0,0,58,0,1,73
65.82779694,1,35000673,1,0,1,1,0,,0,1,0,56,0,1,24
52.59146881,1,35042195,1,1,0,0,0,0,0,1,0,73,0,1,75
50.65184021,1,35911343,0,1,1,1,0,0,0,0,0,73,0,1,37
49.32609177,0,23163330,1,1,0,0,1,1,0,0,0,60,0,1,52
81.75565338,0,31069191,1,1,1,0,0,1,0,0,0,70,0,1,73
56.92087555,0,17007500,1,1,1,0,0,1,0,1,0,69,0,1,67
65.37224579,0,17035287,1,1,0,1,1,1,0,0,0,85,0,1,84
55.36881256,0,53006739,1,0,1,0,1,0,0,1,0,60,0,1,54
54.08148193,1,53008790,1,0,0,0,1,1,0,1,0,,0,1,54
98.87667847,1,33005362,1,0,0,0,0,1,1,1,0,-4,0,0,71
67.53077698,0,23163402,1,0,0,0,1,0,0,0,0,,0,1,
45.91830063,1,23061499,0,0,0,1,0,1,1,1,0,48,0,1,43
80.19822693,0,23083921,1,0,0,0,1,1,1,1,0,58,1,0,58
77.95449066,0,35908915,1,1,1,0,0,0,0,0,0,54,0,1,58
82.20027161,1,35014072,1,1,0,0,0,0,0,0,0,88,0,1,
63.0711441,1,35916985,0,0,0,0,1,1,1,1,0,65,0,1,31
67.54308319,0,33098808,1,0,0,0,0,1,0,1,0,66,1,1,67
49.77040482,1,17000386,0,1,1,1,0,1,1,1,,,0,0,16
31.22348404,1,33120692,1,1,1,1,0,1,0,0,1,19,0,1,67
59.61366272,1,35012300,1,0,0,0,1,1,1,1,0,23,0,1,
78.82259369,1,31330566,1,1,0,0,0,1,1,1,0,60,0,1,39
65.06375122,1,33156883,0,0,0,1,0,1,1,1,1,53,0,1,79
54.56175995,1,33004226,1,1,1,1,1,0,1,0,0,,0,1,39
41.22371674,1,23163410,0,,0,1,1,1,0,1,0,69,0,1,39
67.58205414,0,33028583,1,0,0,0,1,1,0,0,0,90,0,1,77
62.82445145,1,17052050,1,0,0,0,1,1,1,1,0,,0,1,
67.63828278,1,35046772,0,0,0,0,1,1,1,1,1,17,0,1,37
40.38142776,1,23036010,0,0,0,1,1,0,0,1,0,44,1,1,52
60.86140823,0,35019720,0,1,1,1,0,0,1,1,0,38,0,1,58
67.47793579,1,53004981,0,1,0,0,0,1,0,1,0,36,0,0,43
49.63460159,1,17050294,0,1,1,1,0,0,1,1,0,38,0,1,-5
47.56937408,0,33014760,0,1,0,0,0,1,0,1,1,58,0,1,48
36.09096527,0,35019446,0,1,0,0,0,0,1,1,0,45,0,1,52
60.3504982,1,23070382,0,1,1,1,1,0,0,1,0,40,0,1,52
69.94055176,1,33045569,0,0,1,1,0,1,0,1,1,58,0,1,65
65.30418396,1,35925073,,,,,,,0,1,0,42,0,1,50
65.42392731,1,53068181,1,0,0,0,0,1,1,1,1,78,0,1,67
63.51309586,0,35019720,1,0,1,0,0,0,0,0,0,34,0,1,31
62.94869995,1,35925073,1,0,0,0,0,0,,,,,,,
92.12669373,1,33136513,1,0,0,0,0,0,0,0,0,40,0,1,52
62.36565399,1,23264063,0,1,1,1,1,1,0,0,0,41,0,1,46
83.3511734,1,35011149,0,1,1,0,0,0,1,1,0,58,0,1,50
52.48871613,1,33051879,0,1,1,1,0,1,0,1,0,77,0,1,65
63.77598953,1,35019458,0,0,1,0,0,0,1,1,0,39,0,1,10
63.01698303,0,33005990,0,1,1,1,1,1,1,1,0,58,0,1,65
85.81092072,1,35905012,0,1,1,0,0,0,1,1,0,44,0,0,33
50.14030457,0,35045196,0,1,0,0,0,0,0,0,0,63,0,1,48
55.9325943,1,35011514,0,0,0,1,0,0,0,0,0,30,0,0,24
71.84055328,1,35035993,0,0,0,0,0,0,0,1,0,,0,1,
46.0210228,0,23041404,1,0,1,0,1,,0,0,0,38,1,1,67
82.36695099,0,23142332,1,0,0,1,1,0,0,1,0,48,0,1,54
69.4232254,0,35923285,1,0,1,0,0,0,0,0,0,82,0,1,90
64.09137726,1,23047860,,,,,,,0,0,0,46,0,1,56
81.92861176,1,35012178,,,,,,,0,0,0,27,0,0,29
33.43333817,0,23132000,1,0,0,1,1,1,0,0,0,24,0,1,16
41.96011353,1,33051330,1,0,0,1,1,0,1,1,1,47,1,1,
